Date,Num Highs,Num Lows,Strength
2013-03-22,290,20,93.5483870967742
2013-03-25,278,23,92.35880398671095
2013-03-26,289,20,93.52750809061487
2013-03-27,296,20,93.67088607594935
2013-03-28,301,18,94.35736677115987
2013-04-01,287,20,93.48534201954396
2013-04-02,284,19,93.72937293729372
2013-04-03,263,20,92.93286219081271
2013-04-04,271,18,93.77162629757784
2013-04-05,265,19,93.30985915492955
2013-04-08,277,19,93.58108108108108
2013-04-09,283,16,94.64882943143812
2013-04-10,306,15,95.32710280373831
2013-04-11,310,14,95.679012345679
2013-04-12,298,16,94.90445859872612
2013-04-15,237,21,91.86046511627907
2013-04-16,266,21,92.6829268292683
2013-04-17,230,22,91.26984126984128
2013-04-18,206,23,89.95633187772926
2013-04-19,227,23,90.8
2013-04-22,231,23,90.94488188976378
2013-04-23,263,20,92.93286219081271
2013-04-24,275,22,92.5925925925926
2013-04-25,282,22,92.76315789473684
2013-04-26,270,21,92.78350515463916
2013-04-29,284,19,93.72937293729372
2013-04-30,282,19,93.687707641196
2013-05-01,261,18,93.5483870967742
2013-05-02,279,16,94.57627118644068
2013-05-03,302,13,95.87301587301587
2013-05-06,305,12,96.21451104100946
2013-05-07,316,11,96.63608562691132
2013-05-08,317,10,96.94189602446484
2013-05-09,307,10,96.84542586750788
2013-05-10,319,9,97.2560975609756
2013-05-13,311,8,97.4921630094044
2013-05-14,323,9,97.28915662650604
2013-05-15,332,9,97.36070381231671
2013-05-16,323,9,97.28915662650604
2013-05-17,332,8,97.6470588235294
2013-05-20,332,8,97.6470588235294
2013-05-21,338,7,97.97101449275362
2013-05-22,325,8,97.5975975975976
2013-05-23,317,9,97.23926380368098
2013-05-24,302,9,97.10610932475883
2013-05-28,309,9,97.16981132075472
2013-05-29,281,10,96.56357388316152
2013-05-30,284,7,97.59450171821304
2013-05-31,261,8,97.02602230483272
2013-06-03,262,10,96.32352941176472
2013-06-04,254,10,96.21212121212122
2013-06-05,207,14,93.66515837104072
2013-06-06,231,12,95.06172839506172
2013-06-07,269,10,96.415770609319
2013-06-10,266,10,96.37681159420288
2013-06-11,243,14,94.55252918287935
2013-06-12,209,15,93.30357142857144
2013-06-13,255,11,95.86466165413536
2013-06-14,243,13,94.921875
2013-06-17,263,12,95.63636363636364
2013-06-18,271,11,96.09929078014184
2013-06-19,245,13,94.96124031007751
2013-06-20,172,19,90.0523560209424
2013-06-21,184,15,92.46231155778896
2013-06-24,137,20,87.26114649681529
2013-06-25,169,17,90.86021505376344
2013-06-26,191,18,91.38755980861244
2013-06-27,209,18,92.0704845814978
2013-06-28,195,18,91.54929577464787
2013-07-01,211,20,91.34199134199136
2013-07-02,213,18,92.2077922077922
2013-07-03,214,18,92.24137931034484
2013-07-05,237,17,93.30708661417324
2013-07-08,240,15,94.11764705882352
2013-07-09,256,15,94.4649446494465
2013-07-10,261,15,94.56521739130434
2013-07-11,282,12,95.91836734693877
2013-07-12,282,13,95.59322033898306
2013-07-15,288,13,95.6810631229236
2013-07-16,285,13,95.63758389261746
2013-07-17,291,11,96.35761589403974
2013-07-18,296,10,96.73202614379085
2013-07-19,298,12,96.12903225806453
2013-07-22,296,9,97.04918032786884
2013-07-23,296,10,96.73202614379085
2013-07-24,282,14,95.27027027027027
2013-07-25,285,12,95.95959595959596
2013-07-26,287,12,95.9866220735786
2013-07-29,273,12,95.78947368421052
2013-07-30,282,13,95.59322033898306
2013-07-31,279,15,94.89795918367348
2013-08-01,303,11,96.4968152866242
2013-08-02,302,11,96.48562300319487
2013-08-05,292,12,96.05263157894736
2013-08-06,278,11,96.19377162629758
2013-08-07,265,15,94.64285714285714
2013-08-08,274,11,96.140350877193
2013-08-09,268,10,96.40287769784172
2013-08-12,264,14,94.9640287769784
2013-08-13,263,14,94.94584837545126
2013-08-14,247,16,93.91634980988592
2013-08-15,211,18,92.13973799126636
2013-08-16,200,20,90.9090909090909
2013-08-19,181,25,87.86407766990291
2013-08-20,204,21,90.66666666666666
2013-08-21,182,28,86.66666666666667
2013-08-22,208,19,91.62995594713657
2013-08-23,215,14,93.88646288209608
2013-08-26,195,15,92.85714285714286
2013-08-27,145,23,86.30952380952381
2013-08-28,146,25,85.38011695906432
2013-08-29,152,24,86.36363636363636
2013-08-30,142,28,83.52941176470588
2013-09-03,163,26,86.24338624338624
2013-09-04,190,23,89.2018779342723
2013-09-05,202,23,89.77777777777777
2013-09-06,200,17,92.16589861751152
2013-09-09,225,13,94.53781512605042
2013-09-10,242,12,95.2755905511811
2013-09-11,253,10,96.1977186311787
