,Value
2006-08-17,60.34832498647263
2006-08-18,60.34832498647263
2006-08-21,60.34832498647263
2006-08-22,60.34832498647263
2006-08-23,60.34832498647263
2006-08-24,60.34832498647263
2006-08-25,60.34832498647263
2006-08-28,60.34832498647263
2006-08-29,60.34832498647263
2006-08-30,60.34832498647263
2006-08-31,80.21838885585818
2006-09-01,80.21838885585818
2006-09-05,80.21838885585818
2006-09-06,80.21838885585818
2006-09-07,80.21838885585818
2006-09-08,80.21838885585818
2006-09-11,80.21838885585818
2006-09-12,80.21838885585818
2006-09-13,80.21838885585818
2006-09-14,80.21838885585818
2006-09-15,80.21838885585818
2006-09-18,80.21838885585818
2006-09-19,80.21838885585818
2006-09-20,80.21838885585818
2006-09-21,80.21838885585818
2006-09-22,80.21838885585818
2006-09-25,80.21838885585818
2006-09-26,80.21838885585818
2006-09-27,80.21838885585818
2006-09-28,80.21838885585818
2006-09-29,80.21838885585818
2006-10-02,91.52894342692642
2006-10-03,91.52894342692642
2006-10-04,91.52894342692642
2006-10-05,91.52894342692642
2006-10-06,91.52894342692642
2006-10-09,91.52894342692642
2006-10-10,91.52894342692642
2006-10-11,91.52894342692642
2006-10-12,91.52894342692642
2006-10-13,91.52894342692642
2006-10-16,91.52894342692642
2006-10-17,91.52894342692642
2006-10-18,91.52894342692642
2006-10-19,91.52894342692642
2006-10-20,91.52894342692642
2006-10-23,91.52894342692642
2006-10-24,91.52894342692642
2006-10-25,91.52894342692642
2006-10-26,91.52894342692642
2006-10-27,91.52894342692642
2006-10-30,91.52894342692642
2006-10-31,97.06877692486438
2006-11-01,97.06877692486438
2006-11-02,97.06877692486438
2006-11-03,97.06877692486438
2006-11-06,97.06877692486438
2006-11-07,97.06877692486438
2006-11-08,97.06877692486438
2006-11-09,97.06877692486438
2006-11-10,97.06877692486438
2006-11-13,97.06877692486438
2006-11-14,97.06877692486438
2006-11-15,97.06877692486438
2006-11-16,97.06877692486438
2006-11-17,97.06877692486438
2006-11-20,97.06877692486438
2006-11-21,97.06877692486438
2006-11-22,97.06877692486438
2006-11-24,97.06877692486438
2006-11-27,97.06877692486438
2006-11-28,97.06877692486438
2006-11-29,97.06877692486438
2006-11-30,98.0544915431807
2006-12-01,98.0544915431807
2006-12-04,98.0544915431807
2006-12-05,98.0544915431807
2006-12-06,98.0544915431807
2006-12-07,98.0544915431807
2006-12-08,98.0544915431807
2006-12-11,98.0544915431807
2006-12-12,98.0544915431807
2006-12-13,98.0544915431807
2006-12-14,98.0544915431807
2006-12-15,98.0544915431807
2006-12-18,98.0544915431807
2006-12-19,98.0544915431807
2006-12-20,98.0544915431807
2006-12-21,98.0544915431807
2006-12-22,98.0544915431807
2006-12-26,98.0544915431807
2006-12-27,98.0544915431807
2006-12-28,98.0544915431807
2006-12-29,98.0544915431807
2007-01-03,97.06877692486438
2007-01-04,97.06877692486438
2007-01-05,97.06877692486438
2007-01-08,97.06877692486438
2007-01-09,97.06877692486438
2007-01-10,97.06877692486438
2007-01-11,97.06877692486438
2007-01-12,97.06877692486438
2007-01-16,97.06877692486438
2007-01-17,97.06877692486438
2007-01-18,97.06877692486438
2007-01-19,97.06877692486438
2007-01-22,97.06877692486438
2007-01-23,97.06877692486438
2007-01-24,97.06877692486438
2007-01-25,97.06877692486438
2007-01-26,97.06877692486438
2007-01-29,97.06877692486438
2007-01-30,97.06877692486438
2007-01-31,97.06877692486438
2007-02-01,97.06877692486438
2007-02-02,97.06877692486438
2007-02-05,97.06877692486438
2007-02-06,97.06877692486438
2007-02-07,97.06877692486438
2007-02-08,97.06877692486438
2007-02-09,97.06877692486438
2007-02-12,97.06877692486438
2007-02-13,97.06877692486438
2007-02-14,97.06877692486438
2007-02-15,97.06877692486438
2007-02-16,97.06877692486438
2007-02-20,97.06877692486438
2007-02-21,97.06877692486438
2007-02-22,97.06877692486438
2007-02-23,97.06877692486438
2007-02-26,97.06877692486438
2007-02-27,97.06877692486438
2007-02-28,97.44192116879924
2007-03-01,97.44192116879924
2007-03-02,97.44192116879924
2007-03-05,97.44192116879924
2007-03-06,97.44192116879924
2007-03-07,97.44192116879924
2007-03-08,97.44192116879924
2007-03-09,97.44192116879924
2007-03-12,97.44192116879924
2007-03-13,97.44192116879924
2007-03-14,97.44192116879924
2007-03-15,97.44192116879924
2007-03-16,97.44192116879924
2007-03-19,97.44192116879924
2007-03-20,97.44192116879924
2007-03-21,97.44192116879924
2007-03-22,97.44192116879924
2007-03-23,97.44192116879924
2007-03-26,97.44192116879924
2007-03-27,97.44192116879924
2007-03-28,97.44192116879924
2007-03-29,97.44192116879924
2007-03-30,97.44192116879924
2007-04-02,89.0903178804387
2007-04-03,89.0903178804387
2007-04-04,89.0903178804387
2007-04-05,89.0903178804387
2007-04-09,89.0903178804387
2007-04-10,89.0903178804387
2007-04-11,89.0903178804387
2007-04-12,89.0903178804387
2007-04-13,89.0903178804387
2007-04-16,89.0903178804387
2007-04-17,89.0903178804387
2007-04-18,89.0903178804387
2007-04-19,89.0903178804387
2007-04-20,89.0903178804387
2007-04-23,89.0903178804387
2007-04-24,89.0903178804387
2007-04-25,89.0903178804387
2007-04-26,89.0903178804387
2007-04-27,89.0903178804387
2007-04-30,97.06877692486438
2007-05-01,97.06877692486438
2007-05-02,97.06877692486438
2007-05-03,97.06877692486438
2007-05-04,97.06877692486438
2007-05-07,97.06877692486438
2007-05-08,97.06877692486438
2007-05-09,97.06877692486438
2007-05-10,97.06877692486438
2007-05-11,97.06877692486438
2007-05-14,97.06877692486438
2007-05-15,97.06877692486438
2007-05-16,97.06877692486438
2007-05-17,97.06877692486438
2007-05-18,97.06877692486438
2007-05-21,97.06877692486438
2007-05-22,97.06877692486438
2007-05-23,97.06877692486438
2007-05-24,97.06877692486438
2007-05-25,97.06877692486438
2007-05-29,97.06877692486438
2007-05-30,97.06877692486438
2007-05-31,96.15800144984347
2007-06-01,96.15800144984347
2007-06-04,96.15800144984347
2007-06-05,96.15800144984347
2007-06-06,96.15800144984347
2007-06-07,96.15800144984347
2007-06-08,96.15800144984347
2007-06-11,96.15800144984347
2007-06-12,96.15800144984347
2007-06-13,96.15800144984347
2007-06-14,96.15800144984347
2007-06-15,96.15800144984347
2007-06-18,96.15800144984347
2007-06-19,96.15800144984347
2007-06-20,96.15800144984347
2007-06-21,96.15800144984347
2007-06-22,96.15800144984347
2007-06-25,96.15800144984347
2007-06-26,96.15800144984347
2007-06-27,96.15800144984347
2007-06-28,96.15800144984347
