,PCR
2022-06-23,23.399596684779294
2022-06-24,16.540699584429863
2022-06-27,36.97282318111511
2022-06-28,28.49891529413152
2022-06-29,20.276588312924897
2022-06-30,13.55497747414123
2022-07-01,9.162788571733424
2022-07-05,4.879484865450632
2022-07-06,7.47152558234579
2022-07-07,6.855311490044845
2022-07-08,17.797200168870955
2022-07-11,27.54676954668514
2022-07-12,20.873911678070876
2022-07-13,14.725335839181739
2022-07-14,10.004797599188873
2022-07-15,6.775656178512585
2022-07-18,13.84093036549559
2022-07-19,30.379916095728046
2022-07-20,29.58766937836054
2022-07-21,24.305559834762096
2022-07-22,19.749238106830976
2022-07-25,13.366564610094626
2022-07-26,9.407828116926064
2022-07-27,6.776925143399629
2022-07-28,4.60453739829778
2022-07-29,4.745340667148668
2022-08-01,4.437040702403697
2022-08-02,9.445915591778727
2022-08-03,7.59366971811455
2022-08-04,20.01456226513803
2022-08-05,30.78539828212921
2022-08-08,40.41237052290248
2022-08-09,39.47625490522696
2022-08-10,43.76057900487945
2022-08-11,29.722308274206394
2022-08-12,47.5637346692989
2022-08-15,59.428202654867675
2022-08-16,68.57440379518204
2022-08-17,60.63995253271361
2022-08-18,64.70401090510956
2022-08-19,49.6864337739342
2022-08-22,45.660409859211704
2022-08-23,32.753911951096214
2022-08-24,24.17199075254366
2022-08-25,20.16746924323217
2022-08-26,23.962519787222536
2022-08-29,16.070642781613714
2022-08-30,10.891263156265738
2022-08-31,7.291151912257294
2022-09-01,4.917380896717751
2022-09-02,3.2879361141811336
2022-09-06,2.21645953024631
2022-09-07,1.845033826686647
2022-09-08,1.3836365961636075
2022-09-09,3.78310832556604
2022-09-12,29.913042416397786
2022-09-13,36.84196566352469
2022-09-14,24.846389987103098
2022-09-15,16.724697059419814
2022-09-16,11.446484128058264
2022-09-19,7.658904616537136
2022-09-20,29.55064361608642
2022-09-21,21.477461638854738
2022-09-22,14.883218070989253
2022-09-23,9.938326660891654
2022-09-26,6.625608236018249
2022-09-27,4.460145949099864
2022-09-28,3.0537449227421134
2022-09-29,2.2367240135750515
2022-09-30,1.4928796751674398
2022-10-03,1.112871978231736
2022-10-04,1.4515893538026443
2022-10-05,6.025427971871259
2022-10-06,4.557895577661945
2022-10-07,3.775538412564924
2022-10-10,2.521785422563118
2022-10-11,5.846940672314673
2022-10-12,4.030424355849788
2022-10-13,3.016854579374312
2022-10-14,5.345971741080128
2022-10-17,10.75016082321148
2022-10-18,18.30996239902647
2022-10-19,15.591756332013963
2022-10-20,10.73901514047469
2022-10-21,8.290954129859628
2022-10-24,24.271586255450398
2022-10-25,41.47385721224045
2022-10-26,36.94427668365524
2022-10-27,29.186939800440594
2022-10-28,19.471456431802526
2022-10-31,16.607681475167656
2022-11-01,22.878389717082715
2022-11-02,22.992774279835583
2022-11-03,15.328518626748284
2022-11-04,11.927563454355843
2022-11-07,8.355727631736253
2022-11-08,8.631538775163326
2022-11-09,5.754359206155439
2022-11-10,3.8368777100126565
2022-11-11,18.699065503102243
2022-11-14,39.36888335280497
2022-11-15,39.88532902902332
2022-11-16,47.577082823004964
2022-11-17,31.7180552155518
2022-11-18,21.83939272365866
2022-11-21,29.155622424407436
2022-11-22,27.48278436922607
2022-11-23,18.32185625266663
2022-11-25,12.223518793208171
2022-11-28,19.064059903947115
2022-11-29,13.04067575131605
2022-11-30,9.783171464498466
2022-12-01,6.522114392886771
2022-12-02,4.431794871382871
2022-12-05,26.734889290848002
2022-12-06,23.993846636520804
2022-12-07,16.910722030179343
2022-12-08,11.273814687107247
2022-12-09,11.637810669784296
2022-12-12,7.7600265903649195
2022-12-13,16.121585908944976
2022-12-14,13.26426016023416
2022-12-15,8.842840125181356
2022-12-16,7.073551780439658
2022-12-19,4.715702515237925
2022-12-20,20.32337548334842
2022-12-21,13.843605061791797
2022-12-22,9.22907004119453
2022-12-23,6.152713375168326
2022-12-27,4.620195121091778
2022-12-28,3.199872407598202
2022-12-29,2.1332482717321346
2022-12-30,1.4221655510431266
2023-01-03,1.038512633909147
2023-01-04,20.577292552774654
2023-01-05,14.700129406002787
2023-01-06,9.851700797865147
2023-01-09,6.579703738922336
2023-01-10,33.58622142893143
2023-01-11,40.34157507048223
2023-01-12,32.31427086865741
2023-01-13,37.05736762776962
2023-01-17,31.659619753883778
2023-01-18,49.11528913007863
2023-01-19,32.74352616573382
2023-01-20,22.962381268580533
2023-01-23,47.3856117229715
2023-01-24,63.971123700916955
2023-01-25,51.81005094823917
2023-01-26,36.03616682685934
2023-01-27,33.29396050525457
2023-01-30,55.00144745925121
2023-01-31,67.73682830458452
2023-02-01,58.69982420683204
2023-02-02,67.37696415930826
2023-02-03,77.94933153385257
2023-02-06,82.22240675555938
2023-02-07,59.12682097177782
2023-02-08,66.0924526900951
2023-02-09,64.69908883297414
2023-02-10,63.75493144927383
2023-02-13,49.58141203215434
2023-02-14,59.70655481851784
2023-02-15,64.68291792312276
2023-02-16,72.38055882654116
2023-02-17,74.81092330937116
2023-02-21,60.70520225498649
2023-02-22,49.258646634070026
2023-02-23,33.16801703392645
2023-02-24,23.193771753462457
2023-02-27,15.65013662233328
2023-02-28,24.0293567783699
2023-03-01,23.341485126073383
2023-03-02,15.563182879016361
2023-03-03,10.644910943008568
2023-03-06,35.63242055427199
2023-03-07,35.45623865309057
2023-03-08,25.72945575737055
