,Breadth Ratio
2021-02-25,84.85654739436528
2021-02-26,73.84784408490148
2021-03-01,71.67117195610594
2021-03-02,81.46887127648506
2021-03-03,77.185345620832
2021-03-04,74.28907479132188
2021-03-05,65.03608719014183
2021-03-08,73.62069422404902
2021-03-09,72.69257601802039
2021-03-10,75.32466941740626
2021-03-11,76.23048252954167
2021-03-12,78.70184759772047
2021-03-15,79.4846613862914
2021-03-16,82.92487346869277
2021-03-17,80.88994181489034
2021-03-18,84.15750823287624
2021-03-19,77.8786737064344
2021-03-22,76.74340763412285
2021-03-23,79.39645729534925
2021-03-24,70.78705303209635
2021-03-25,63.69455253854396
2021-03-26,68.184047483757
2021-03-29,76.43368875550158
2021-03-30,73.92062117907352
2021-03-31,72.57275235390928
2021-04-01,73.00072226754658
2021-04-05,79.0422519019435
2021-04-06,85.04331498941325
2021-04-07,84.2481666936014
2021-04-08,84.63027734746038
2021-04-09,84.5530363225676
2021-04-12,87.31154457965297
2021-04-13,88.4816202152186
2021-04-14,89.35475288502006
2021-04-15,87.69679616407551
2021-04-16,90.47218761516346
2021-04-19,90.59712493605774
2021-04-20,87.23735009236371
2021-04-21,81.45821863963283
2021-04-22,87.35745801499155
2021-04-23,80.79888873330778
2021-04-26,86.56599298360199
2021-04-27,88.8998069423164
2021-04-28,87.39782798537041
2021-04-29,86.0331854086512
2021-04-30,87.28411721005345
2021-05-03,82.4989044890809
2021-05-04,82.84067618744959
2021-05-05,78.41316499190492
2021-05-06,81.5185581617765
2021-05-07,85.37451880245625
2021-05-10,89.62073516397395
2021-05-11,86.17439554418605
2021-05-12,80.73444070015918
2021-05-13,69.49937843825911
2021-05-14,74.37260525549814
2021-05-17,83.17174143142137
2021-05-18,81.26967201802454
2021-05-19,72.68697889203025
2021-05-20,66.66125132212902
2021-05-21,72.6175938388733
2021-05-24,75.29456596764163
2021-05-25,81.2750350768955
2021-05-26,79.0273269872238
2021-05-27,83.97962897491875
2021-05-28,84.22784961688822
2021-06-01,84.5483500473272
2021-06-02,86.56607521723494
2021-06-03,89.18038098635745
2021-06-04,89.42111730835043
2021-06-07,91.42386597649794
2021-06-08,91.09374540683459
2021-06-09,88.6327146001898
2021-06-10,84.42265016831882
2021-06-11,85.64963621984923
2021-06-14,87.9364081959775
2021-06-15,86.71856649365346
2021-06-16,84.60931745709868
2021-06-17,82.49603671528224
2021-06-18,81.78060829442957
2021-06-21,70.30907530688953
2021-06-22,74.5726945854446
2021-06-23,78.59767769515035
2021-06-24,78.95280333438987
2021-06-25,83.73296805856239
2021-06-28,84.61155500862316
2021-06-29,83.50064970611972
2021-06-30,82.3509644756962
2021-07-01,82.62607787884544
2021-07-02,86.55187413703587
2021-07-06,88.76033854832899
2021-07-07,86.56242405047966
2021-07-08,84.12787202347516
2021-07-09,75.80671496491394
2021-07-12,84.25252467375913
2021-07-13,86.14186179720909
2021-07-14,79.14601803416303
2021-07-15,75.09729744178917
2021-07-16,67.72372833856973
2021-07-19,54.83370825605297
2021-07-20,46.24427803157399
2021-07-21,55.596654393345034
2021-07-22,65.89372955262758
2021-07-23,64.36830723429942
2021-07-26,66.34418241648851
2021-07-27,70.51327584276996
2021-07-28,62.70544070180913
2021-07-29,65.86600678776206
2021-07-30,71.81149029919328
2021-08-02,65.28653439311614
2021-08-03,64.06577470941127
2021-08-04,72.85092591296036
2021-08-05,66.7716640630526
2021-08-06,73.2448680081977
2021-08-09,73.93957570095677
2021-08-10,68.25866435988624
2021-08-11,69.66003403180359
2021-08-12,74.03831999702675
2021-08-13,74.00550404498583
2021-08-16,74.17516197846619
2021-08-17,71.53926302375369
2021-08-18,61.754113231226015
2021-08-19,48.83041204779207
2021-08-20,48.2405368900133
2021-08-23,59.52798369733997
2021-08-24,69.56444917314828
2021-08-25,70.46209738746707
2021-08-26,76.48713961355926
2021-08-27,64.87898080683566
2021-08-30,75.10926344974777
2021-08-31,75.48855417650395
2021-09-01,73.7264273298695
2021-09-02,70.86830402387936
2021-09-03,74.13749901429391
2021-09-07,72.80704542822016
2021-09-08,66.60206785301715
2021-09-09,61.419591483492184
2021-09-10,57.33091624443889
2021-09-13,49.4202116110289
2021-09-14,53.77871055073828
2021-09-15,45.20133938723748
2021-09-16,56.09067293255947
2021-09-17,51.59098184912019
2021-09-20,40.4559022847203
2021-09-21,26.894895165808908
2021-09-22,24.718606099115796
2021-09-23,35.487234317799995
2021-09-24,49.882713877885934
2021-09-27,52.8623865064852
2021-09-28,55.47189750658802
2021-09-29,42.105230835589595
2021-09-30,40.67784773204324
2021-10-01,30.01880420761439
2021-10-04,39.67640204958201
2021-10-05,35.43459178864919
2021-10-06,43.51191206540746
2021-10-07,44.07398430631274
2021-10-08,53.4273170206781
2021-10-11,50.24266650108111
2021-10-12,40.79458927183646
2021-10-13,37.22215574181247
2021-10-14,36.83337250469965
2021-10-15,49.92549745483528
2021-10-18,58.355265266725894
2021-10-19,59.035899940703175
2021-10-20,63.95652554027221
2021-10-21,68.5265511952667
2021-10-22,69.23836725158576
2021-10-25,69.73365058712406
2021-10-26,71.54663139819199
2021-10-27,72.35436015590324
2021-10-28,63.04208899869832
2021-10-29,71.9486077640044
2021-11-01,70.69243113676443
2021-11-02,76.35833221005939
2021-11-03,78.12622707500532
2021-11-04,83.20421741186075
2021-11-05,85.2627843907403
2021-11-08,84.77604037076057
2021-11-09,86.21119958305812
2021-11-10,81.38743969207573
2021-11-11,75.28440288108449
2021-11-12,77.3930744588557
2021-11-15,77.76832066844396
2021-11-16,75.92058795734448
2021-11-17,74.6863803812141
2021-11-18,69.07357947942413
2021-11-19,70.27532006084081
2021-11-22,66.1706172773625
2021-11-23,65.34779799633732
2021-11-24,63.76915683482578
2021-11-26,68.52252024299133
2021-11-29,53.43318495300014
2021-11-30,58.73177933103619
2021-12-01,43.170347490328865
2021-12-02,32.30129976111121
2021-12-03,42.44167681424831
2021-12-06,34.08783652713439
2021-12-07,38.82700959808647
2021-12-08,49.705709305335475
2021-12-09,47.947230472111414
2021-12-10,36.70549045988955
2021-12-13,39.73872137367403
2021-12-14,30.018346010504658
2021-12-15,28.88233745042242
2021-12-16,37.271815624587354
2021-12-17,34.6436451882237
2021-12-20,26.944433800844113
2021-12-21,19.16857427565304
2021-12-22,28.83787293204554
2021-12-23,40.008828548449266
2021-12-27,51.46493500008663
2021-12-28,62.06246394898559
2021-12-29,56.90519924534936
2021-12-30,52.22449502164136
2021-12-31,43.09338154004312
2022-01-03,37.098806513254345
2022-01-04,45.70997191869067
2022-01-05,46.94302064556348
2022-01-06,36.82000154040564
2022-01-07,39.73646888939168
2022-01-10,39.30197266051494
2022-01-11,40.694194655011216
2022-01-12,51.23968538205664
2022-01-13,56.73195849490271
2022-01-14,51.69314133608394
2022-01-18,56.220503416978204
2022-01-19,42.3898773484438
2022-01-20,31.675104621220857
2022-01-21,21.47218136319349
2022-01-24,13.36379251739671
2022-01-25,12.015968354189493
2022-01-26,9.423647729569351
2022-01-27,9.593919039343607
2022-01-28,7.443066710705187
2022-01-31,11.523641067018026
2022-02-01,18.100295621113933
2022-02-02,23.22754715923568
2022-02-03,29.19830119566137
2022-02-04,19.566207834848413
2022-02-07,20.889520253090915
2022-02-08,22.829683047889795
2022-02-09,28.706984433136856
2022-02-10,39.3093471843562
2022-02-11,27.265651292723437
2022-02-14,18.724509533340427
2022-02-15,16.83245360273238
2022-02-16,25.479603744037306
2022-02-17,28.47537920643847
2022-02-18,19.03043223784713
2022-02-22,14.290945419101696
2022-02-23,9.346168010254042
2022-02-24,5.788401504601848
2022-02-25,7.464674476314126
2022-02-28,13.53076995374306
2022-03-01,12.839766036801409
2022-03-02,8.549158701622394
2022-03-03,15.209181356993284
2022-03-04,12.576624963802557
2022-03-07,10.190960679357946
2022-03-08,6.43451511590496
2022-03-09,7.333859840497153
2022-03-10,11.195763969529054
2022-03-11,9.52446859167705
2022-03-14,6.253602141438153
2022-03-15,4.999514112025205
2022-03-16,8.205010527651208
2022-03-17,12.784052972087267
2022-03-18,19.023941617885644
2022-03-21,24.759894944491943
2022-03-22,26.18965593806638
2022-03-23,28.558618069306185
2022-03-24,21.295105584540643
2022-03-25,33.11960644457293
2022-03-28,35.45222055921076
2022-03-29,41.24403663235484
2022-03-30,52.92558085196277
2022-03-31,43.786505025376165
2022-04-01,30.528502498634158
2022-04-04,28.224774058868086
2022-04-05,33.752128706205355
2022-04-06,24.38595515827926
2022-04-07,18.428903976967998
2022-04-08,17.13442391221418
2022-04-11,16.188416176271026
2022-04-12,12.142992156312914
2022-04-13,9.69858255944982
2022-04-14,15.441573206488247
2022-04-18,11.662443740404644
2022-04-19,13.871962666485887
2022-04-20,21.531468111561665
2022-04-21,20.222391817715923
2022-04-22,14.443995811354881
2022-04-25,8.049002647411935
2022-04-26,9.793377477521382
2022-04-27,5.680270268343807
2022-04-28,5.0261538529557175
2022-04-29,8.099797346633448
2022-05-02,4.416652588972142
2022-05-03,6.2672590635825145
2022-05-04,9.425307334992405
2022-05-05,16.813329842897218
2022-05-06,9.571965942509475
2022-05-09,7.606042949380626
2022-05-10,4.588772740586022
2022-05-11,5.72158247648421
2022-05-12,3.8509656343181486
2022-05-13,3.25557212862026
2022-05-16,6.210405067782887
2022-05-17,4.938982985447743
2022-05-18,8.409919212680938
2022-05-19,4.557887686324485
2022-05-20,4.520508558112285
2022-05-23,3.9301229372211974
2022-05-24,6.610969734290811
2022-05-25,4.897106635371584
2022-05-26,8.33340664107306
2022-05-27,14.619434712057483
2022-05-31,24.26704776271016
2022-06-01,18.482962535337684
2022-06-02,13.631107478717253
2022-06-03,20.80866672471558
2022-06-06,13.081415871856056
2022-06-07,16.30634010048674
2022-06-08,23.206592482302547
2022-06-09,15.574077946537024
2022-06-10,8.748967150652653
2022-06-13,4.897689304830921
2022-06-14,2.609453331617445
2022-06-15,2.7306048811980785
2022-06-16,4.4541142585870555
2022-06-17,2.4417418354015954
2022-06-21,2.9833150868097844
2022-06-22,5.1759296575792035
2022-06-23,4.217293912827719
2022-06-24,4.098343566517215
2022-06-27,7.76320953212038
2022-06-28,6.487192907430872
2022-06-29,4.196971409816985
2022-06-30,3.046458221423365
2022-07-01,1.9972064512697396
2022-07-05,2.35132270040741
2022-07-06,2.73815635282596
2022-07-07,3.179147844450786
2022-07-08,5.6430434573173205
2022-07-11,4.736152180323799
2022-07-12,2.9938411754739933
2022-07-13,2.5108967134120808
2022-07-14,2.6096546893658754
2022-07-15,2.506956324283327
2022-07-18,4.843110414095792
2022-07-19,5.970452155870454
2022-07-20,11.192823551124315
2022-07-21,16.296674647945263
2022-07-22,20.4907380160408
2022-07-25,14.683627540953637
2022-07-26,13.658387351538149
2022-07-27,9.47671684018998
2022-07-28,15.778901123328643
2022-07-29,21.27760169684832
2022-08-01,27.81122820920352
2022-08-02,31.251038045963277
2022-08-03,29.085013533102256
2022-08-04,37.614302411350664
2022-08-05,37.57638853397457
2022-08-08,33.048953737291654
2022-08-09,29.89575170345853
2022-08-10,24.05146029946637
2022-08-11,37.11628145182358
2022-08-12,36.44380159292427
2022-08-15,51.68379167187048
2022-08-16,57.40495604153287
2022-08-17,57.202420013259356
2022-08-18,44.64852180108401
2022-08-19,50.17759413633053
2022-08-22,37.79875983182431
2022-08-23,23.892612225006964
2022-08-24,26.588241559429086
2022-08-25,35.10610211825907
2022-08-26,49.0172906513758
2022-08-29,32.208746654163996
2022-08-30,23.919133736625902
2022-08-31,15.355401238396738
2022-09-01,9.95403617845474
2022-09-02,8.140516733197355
2022-09-06,5.48821064693743
2022-09-07,3.8934966439134855
2022-09-08,7.007620897181621
2022-09-09,10.290248427710342
2022-09-12,17.651285942427453
2022-09-13,26.9388656360428
2022-09-14,15.54707748175188
2022-09-15,14.685419852386117
2022-09-16,11.208087398859185
2022-09-19,9.26282736628149
2022-09-20,14.144900185793785
2022-09-21,8.513973007216148
2022-09-22,6.559587788707866
2022-09-23,4.209355174437785
2022-09-26,2.3747273285017076
2022-09-27,1.509050716047844
2022-09-28,1.7251364345803266
2022-09-29,3.2552686631011074
2022-09-30,1.8466187097030906
2022-10-03,1.2644949679326778
2022-10-04,2.342355970136806
